#WellName	 Depth.M	 INCL	 AZIM 
WellName	 Depth.M	 INCL	 AZIM 
FD11170	0.000 	 0.000 	 0.000
FD11170	0.125 	 0.000 	 90.000
FD11170	0.250 	 0.000 	 90.000
FD11170	0.375 	 0.000 	 90.000
FD11170	0.500 	 0.000 	 90.000
FD11170	0.625 	 0.000 	 90.000
FD11170	0.750 	 0.000 	 90.000
FD11170	0.875 	 0.000 	 90.000
FD11170	1.000 	 0.000 	 90.000
FD11170	1.125 	 0.000 	 90.000
FD11170	1.250 	 0.000 	 90.000
FD11170	1.375 	 0.000 	 90.000
FD11170	1.500 	 0.000 	 90.000
FD11170	1.625 	 0.000 	 90.000
FD11170	1.750 	 0.000 	 90.000
FD11170	1.875 	 0.000 	 90.000
FD11170	2.000 	 0.000 	 90.000
FD11170	2.125 	 0.000 	 90.000
FD11170	2.250 	 0.000 	 90.000
FD11170	2.375 	 0.000 	 90.000
FD11170	2.500 	 0.000 	 90.000
FD11170	2.625 	 0.000 	 90.000
FD11170	2.750 	 0.000 	 90.000
FD11170	2.875 	 0.000 	 90.000
FD11170	3.000 	 0.000 	 90.000
FD11170	3.125 	 0.000 	 90.000
FD11170	3.250 	 0.000 	 90.000
FD11170	3.375 	 0.000 	 90.000
FD11170	3.500 	 0.000 	 90.000
FD11170	3.625 	 0.000 	 90.000
FD11170	3.750 	 0.000 	 90.000
FD11170	3.875 	 0.000 	 90.000
FD11170	4.000 	 0.000 	 90.000
FD11170	4.125 	 0.000 	 90.000
FD11170	4.250 	 0.000 	 90.000
FD11170	4.375 	 0.000 	 90.000
FD11170	4.500 	 0.000 	 90.000
FD11170	4.625 	 0.000 	 90.000
FD11170	4.750 	 0.000 	 90.000
FD11170	4.875 	 0.000 	 90.000
FD11170	5.000 	 0.000 	 90.000
FD11170	5.125 	 0.000 	 90.000
FD11170	5.250 	 0.000 	 90.000
FD11170	5.375 	 0.000 	 90.000
FD11170	5.500 	 0.000 	 90.000
